,0,1
46,LTFREDAY,0.900923728968
33,DAYS,0.0405198369299
34,FREDAYS,0.0367826675912
3,FRE,0.021773766511
0,HHKEY,0.0
37,COUPONS,0.0
28,OMONSPEND,0.0
29,SMONSPEND,0.0
30,PREVPD,0.0
31,GMP,0.0
32,PROMOS,0.0
35,MARKDOWN,0.0
36,CLASSES,0.0
39,STORES,0.0
38,STYLES,0.0
26,AXSPEND,0.0
40,STORELOY,0.0
41,WEB,0.0
42,MAILED,0.0
43,RESPONDED,0.0
44,RESPONSERATE,0.0
45,HI,0.0
47,CLUSTYPE,0.0
48,PERCRET,0.0
27,TMONSPEND,0.0
25,CCSPEND,0.0
1,ZIP_CODE,0.0
24,PSSPEND,0.0
2,REC,0.0
4,MON,0.0
5,CC_CARD,0.0
6,AVRG,0.0
7,PC_CALC20,0.0
8,PSWEATERS,0.0
9,PKNIT_TOPS,0.0
10,PKNIT_DRES,0.0
11,PBLOUSES,0.0
12,PJACKETS,0.0
13,PCAR_PNTS,0.0
14,PCAS_PNTS,0.0
15,PSHIRTS,0.0
16,PDRESSES,0.0
17,PSUITS,0.0
18,POUTERWEAR,0.0
19,PJEWELRY,0.0
20,PFASHION,0.0
21,PLEGWEAR,0.0
22,PCOLLSPND,0.0
23,AMSPEND,0.0
49,VALPHON,0.0
